Transaction Number;Ethereum (PoW);Hyperledger Besu (IBFT2);CosmWasm (Tendermint)
917;36.18;5.71;5.35
918;8.19;4.75;5.33
919;25.19;4.66;5.32
920;15.49;5.75;5.4
921;16.19;5.01;5.33
922;27.57;5.11;5.34
923;7.8;4.91;5.46
924;30.21;4.96;5.44
925;10.13;4.96;5.34
926;10.66;5.01;5.44
927;26.28;5;5.33
928;13.23;4.73;5.38
929;17.19;4.62;5.49
930;21.13;5.76;5.35
931;21.91;4.76;5.34
932;9.51;4.66;5.35
933;15.05;5.7;5.35
934;15.15;3.93;5.39
935;60.23;5.64;5.45
936;85.62;4.52;5.35
937;28.69;5.6;5.43
938;12.19;4.63;5.47
939;76.56;5.61;5.39
940;42.32;4.62;5.38
941;24.84;4.84;5.37
942;36.39;4.72;5.34
943;8.15;5.72;5.35
944;8.14;4.75;5.45
945;9.6;4.57;5.34
946;14.16;5.92;5.35
947;26.24;4.88;5.34
948;37.55;4.89;5.38
949;9.19;5.13;5.55
950;20.79;4.07;5.35
951;8.61;5.64;5.46
952;10.56;4.7;5.45
953;35.07;4.57;5.34
954;6.19;5.6;5.33
955;8.48;4.86;5.36
956;37.31;4.64;5.38
957;20.73;5.75;5.36
958;8.96;4.74;5.35
959;49.47;4.61;5.44
960;25.8;5.64;5.33
961;11.71;4.61;5.33
962;24.11;4.61;5.33
963;35.33;5.68;5.36
964;8.3;4.76;5.31
965;23.28;4.76;5.43
966;39.32;5.68;5.46
967;14.19;4.74;5.35
968;9.17;4.67;5.36
969;24.26;5.66;5.38
970;9.64;4.76;5.4
971;7.61;4.66;5.38
972;41.2;5.69;5.44
973;16.24;4.67;5.35
974;18.2;4.6;5.46
975;17.18;5.67;5.35
976;15.23;4.72;5.47
977;46.49;4.67;5.33
978;19.61;4.64;5.37
979;16.24;5.68;5.28
980;12.16;4.73;5.44
981;12.13;4.53;5.33
982;9.65;5.73;5.46
983;21.19;4.57;5.4
984;16.28;5.75;5.3
985;47.25;4.76;5.49
