Time (in seconds),Validator,Memory Used (MB)
1061,Validator,101.20
1062,Validator,101.20
1063,Validator,101.20
1064,Validator,101.20
1065,Validator,101.20
1066,Validator,101.20
1067,Validator,101.20
1068,Validator,101.20
1069,Validator,101.20
1070,Validator,101.20
1071,Validator,101.20
1072,Validator,101.20
1073,Validator,101.20
1074,Validator,101.20
1075,Validator,101.20
1076,Validator,101.20
1077,Validator,101.20
1078,Validator,101.20
1079,Validator,101.20
1080,Validator,101.20
1081,Validator,101.20
1082,Validator,101.20
1083,Validator,101.20
1084,Validator,101.20
1085,Validator,101.20
1086,Validator,101.20
1087,Validator,101.20
1088,Validator,101.20
1089,Validator,101.20
1090,Validator,101.20
1091,Validator,101.20
1092,Validator,101.20
1093,Validator,101.20
1094,Validator,101.20
1095,Validator,101.20
1096,Validator,101.20
1097,Validator,101.20
1098,Validator,101.20
1099,Validator,101.20
1100,Validator,101.20
1101,Validator,101.30
1102,Validator,101.30
1103,Validator,101.30
1104,Validator,101.30
1105,Validator,101.30
1106,Validator,101.30
1107,Validator,101.30
1108,Validator,101.30
1109,Validator,101.30
1110,Validator,101.30
1111,Validator,101.30
1112,Validator,101.30
1113,Validator,101.30
1114,Validator,101.30
1115,Validator,101.30
1116,Validator,101.30
1117,Validator,101.30
1118,Validator,101.30
1119,Validator,101.30
1120,Validator,101.30
1121,Validator,101.30
1122,Validator,101.30
1123,Validator,101.30
1124,Validator,101.30
1125,Validator,101.30
1126,Validator,101.30
1127,Validator,101.30
1128,Validator,101.30
1129,Validator,101.30
1130,Validator,101.30
1131,Validator,101.30
1132,Validator,101.30
1133,Validator,101.30
1134,Validator,101.30
1135,Validator,101.30
1136,Validator,101.30
1137,Validator,101.30
1138,Validator,101.30
1139,Validator,101.30
1140,Validator,101.30
1141,Validator,101.30
1142,Validator,101.30
1143,Validator,101.30
1144,Validator,101.30
1145,Validator,101.30
1146,Validator,101.30
1147,Validator,101.30
1148,Validator,101.30
1149,Validator,101.40
1150,Validator,101.40
1151,Validator,101.40
1152,Validator,101.40
1153,Validator,101.40
1154,Validator,101.40
1155,Validator,101.40
1156,Validator,101.40
1157,Validator,101.40
1158,Validator,101.40
1159,Validator,101.40
1160,Validator,101.40
1161,Validator,101.40
1162,Validator,101.40
1163,Validator,101.40
1164,Validator,101.40
1165,Validator,101.40
1166,Validator,101.40
1167,Validator,101.40
1168,Validator,101.40
1169,Validator,101.40
1170,Validator,101.40
1171,Validator,101.40
1172,Validator,101.40
1173,Validator,101.40
1174,Validator,101.40
1175,Validator,101.40
1176,Validator,101.40
1177,Validator,101.40
1178,Validator,101.40
1179,Validator,101.40
1180,Validator,101.40
1181,Validator,101.40
1182,Validator,101.40
1183,Validator,101.40
1184,Validator,101.40
1185,Validator,101.40
1186,Validator,101.40
1187,Validator,101.40
1188,Validator,101.40
1189,Validator,101.40
1190,Validator,101.40
1191,Validator,101.40
1192,Validator,101.40
1193,Validator,101.50
1194,Validator,101.50
1195,Validator,101.50
1196,Validator,101.50
1197,Validator,101.50
1198,Validator,101.50
1199,Validator,101.50
1200,Validator,101.50
1201,Validator,101.50
1202,Validator,101.50
1203,Validator,101.50
1204,Validator,101.50
1205,Validator,101.50
1206,Validator,101.50
1207,Validator,101.50
1208,Validator,101.50
1209,Validator,101.50
1210,Validator,101.50
1211,Validator,101.50
1212,Validator,101.50
1213,Validator,101.50
1214,Validator,101.50
1215,Validator,101.50
1216,Validator,101.50
1217,Validator,101.50
1218,Validator,101.50
1219,Validator,101.50
1220,Validator,101.50
1221,Validator,101.50
1222,Validator,101.50
1223,Validator,101.50
1224,Validator,101.50
1225,Validator,101.50
1226,Validator,101.50
1227,Validator,101.50
1228,Validator,101.50
1229,Validator,101.50
1230,Validator,101.50
1231,Validator,101.50
1232,Validator,101.50
1233,Validator,101.50
1234,Validator,101.50
1235,Validator,101.50
1236,Validator,101.50
1237,Validator,101.50
1238,Validator,101.50
1239,Validator,101.50
1240,Validator,101.50
1241,Validator,101.60
1242,Validator,101.60
1243,Validator,101.60
1244,Validator,101.60
1245,Validator,101.60
1246,Validator,101.60
1247,Validator,101.60
1248,Validator,101.60
1249,Validator,101.60
1250,Validator,101.60
1251,Validator,101.60
1252,Validator,101.60
1253,Validator,101.60
1254,Validator,101.60
1255,Validator,101.60
1256,Validator,101.60
1257,Validator,101.60
1258,Validator,101.60
1259,Validator,101.60
1260,Validator,101.60
1261,Validator,101.60
1262,Validator,101.60
1263,Validator,101.60
1264,Validator,101.60
1265,Validator,101.60
1266,Validator,101.60
1267,Validator,101.60
1268,Validator,101.60
1269,Validator,101.60
1270,Validator,101.60
1271,Validator,101.60
1272,Validator,101.60
1273,Validator,101.60
1274,Validator,101.60
1275,Validator,101.60
1276,Validator,101.60
1277,Validator,101.60
1278,Validator,101.60
1279,Validator,101.70
1280,Validator,101.60
1281,Validator,101.60
1282,Validator,101.60
1283,Validator,101.60
1284,Validator,101.60
1285,Validator,101.60
1286,Validator,101.60
1287,Validator,101.60
1288,Validator,101.60
1289,Validator,101.60
1290,Validator,101.60
1291,Validator,101.60
1292,Validator,101.60
1293,Validator,101.60
1294,Validator,101.60
1295,Validator,101.60
1296,Validator,101.60
1297,Validator,101.60
1298,Validator,101.60
1299,Validator,101.60
1300,Validator,101.60
1301,Validator,101.60
1302,Validator,101.60
1303,Validator,101.60
1304,Validator,101.70
1305,Validator,101.60
1306,Validator,101.70
1307,Validator,101.70
1308,Validator,101.80
1309,Validator,101.70
1310,Validator,101.70
1311,Validator,101.70
1312,Validator,101.70
1313,Validator,101.70
1314,Validator,101.70
1315,Validator,101.70
1316,Validator,101.70
1317,Validator,101.70
1318,Validator,101.70
1319,Validator,101.70
1320,Validator,101.70
1321,Validator,101.70
1322,Validator,101.70
1323,Validator,101.70
1324,Validator,101.70
1325,Validator,101.70
1326,Validator,101.70
1327,Validator,101.70
1328,Validator,101.70
1329,Validator,101.70
1330,Validator,101.70
1331,Validator,101.70
1332,Validator,101.70
1333,Validator,101.70
1334,Validator,101.70
1335,Validator,101.70
1336,Validator,101.70
1337,Validator,101.70
1338,Validator,101.70
1339,Validator,101.70
1340,Validator,101.70
1341,Validator,101.70
1342,Validator,101.70
1343,Validator,101.70
1344,Validator,101.70
1345,Validator,101.70
1346,Validator,101.70
1347,Validator,101.70
1348,Validator,101.70
1349,Validator,101.70
1350,Validator,101.70
1351,Validator,101.70
1352,Validator,101.70
1353,Validator,101.70
