Time (in seconds),Validator,CPU Used
1170,Validator,4.92
1171,Validator,2.04
1172,Validator,4.98
1173,Validator,0.21
1174,Validator,4.68
1175,Validator,0.79
1176,Validator,0.20
1177,Validator,1.00
1178,Validator,1.89
1179,Validator,0.26
1180,Validator,2.69
1181,Validator,0.55
1182,Validator,0.08
1183,Validator,1.00
1184,Validator,0.87
1185,Validator,0.08
1186,Validator,1.48
1187,Validator,0.53
1188,Validator,0.10
1189,Validator,3.68
1190,Validator,0.85
1191,Validator,4.53
1192,Validator,1.23
1193,Validator,3.94
1194,Validator,0.12
1195,Validator,5.57
1196,Validator,2.19
1197,Validator,5.18
1198,Validator,0.68
1199,Validator,1.79
1200,Validator,0.10
1201,Validator,0.09
1202,Validator,1.72
1203,Validator,1.29
1204,Validator,0.11
1205,Validator,1.60
1206,Validator,0.91
1207,Validator,0.06
1208,Validator,0.80
1209,Validator,1.41
1210,Validator,0.11
1211,Validator,1.73
1212,Validator,1.79
1213,Validator,0.23
1214,Validator,4.08
1215,Validator,1.50
1216,Validator,5.24
1217,Validator,0.33
1218,Validator,3.43
1219,Validator,0.23
1220,Validator,5.95
1221,Validator,0.78
1222,Validator,0.71
1223,Validator,0.84
1224,Validator,4.54
1225,Validator,0.05
1226,Validator,0.52
1227,Validator,0.67
1228,Validator,0.08
1229,Validator,0.90
1230,Validator,1.88
1231,Validator,0.29
1232,Validator,0.13
1233,Validator,1.33
1234,Validator,0.15
1235,Validator,4.13
1236,Validator,2.00
1237,Validator,2.93
1238,Validator,1.45
1239,Validator,5.21
1240,Validator,0.61
1241,Validator,3.83
1242,Validator,2.59
1243,Validator,3.84
1244,Validator,0.39
1245,Validator,0.89
1246,Validator,1.24
1247,Validator,0.67
1248,Validator,2.25
1249,Validator,1.19
1250,Validator,0.68
1251,Validator,0.53
1252,Validator,1.28
1253,Validator,0.20
1254,Validator,0.76
1255,Validator,1.14
1256,Validator,0.07
1257,Validator,0.47
1258,Validator,4.44
1259,Validator,0.13
1260,Validator,3.96
1261,Validator,1.31
1262,Validator,4.10
1263,Validator,0.46
1264,Validator,4.28
1265,Validator,0.35
1266,Validator,0.79
1267,Validator,1.74
1268,Validator,0.19
1269,Validator,0.35
1270,Validator,1.77
1271,Validator,2.10
1272,Validator,0.46
1273,Validator,1.98
1274,Validator,1.50
1275,Validator,0.19
1276,Validator,1.24
1277,Validator,0.70
1278,Validator,0.14
1279,Validator,3.96
1280,Validator,1.47
1281,Validator,3.98
1282,Validator,1.21
1283,Validator,4.55
1284,Validator,0.34
1285,Validator,3.04
1286,Validator,4.40
1287,Validator,2.80
1288,Validator,0.58
1289,Validator,1.81
1290,Validator,0.10
1291,Validator,0.80
1292,Validator,1.20
1293,Validator,0.46
1294,Validator,0.09
1295,Validator,1.31
1296,Validator,0.25
1297,Validator,0.11
1298,Validator,1.31
1299,Validator,0.79
1300,Validator,0.84
1301,Validator,1.45
1302,Validator,3.17
1303,Validator,0.74
1304,Validator,3.61
1305,Validator,2.39
1306,Validator,4.85
1307,Validator,0.30
1308,Validator,4.77
1309,Validator,0.07
1310,Validator,3.65
1311,Validator,1.16
1312,Validator,1.48
1313,Validator,0.11
1314,Validator,1.19
1315,Validator,0.34
1316,Validator,0.11
1317,Validator,0.62
1318,Validator,1.57
1319,Validator,0.20
1320,Validator,2.62
1321,Validator,1.10
1322,Validator,0.48
1323,Validator,1.16
1324,Validator,1.25
1325,Validator,0.98
1326,Validator,1.34
1327,Validator,4.80
1328,Validator,0.10
1329,Validator,2.67
1330,Validator,1.16
1331,Validator,3.89
1332,Validator,0.79
1333,Validator,5.07
1334,Validator,0.05
1335,Validator,2.79
1336,Validator,1.28
1337,Validator,0.73
1338,Validator,0.17
1339,Validator,2.89
1340,Validator,0.24
1341,Validator,0.34
1342,Validator,2.11
1343,Validator,0.71
1344,Validator,0.99
1345,Validator,3.57
1346,Validator,2.69
1347,Validator,0.23
1348,Validator,2.15
1349,Validator,2.23
1350,Validator,2.91
1351,Validator,2.08
1352,Validator,4.43
1353,Validator,0.09
1354,Validator,4.54
1355,Validator,0.84
