Transaction Number,CosmWasm (Tendermint),Hyperledger Besu (IBFT2),Ethereum (PoW)
578,5.34,4.51,10.89
579,5.35,5.5,32.99
580,5.45,4.47,15.95
581,5.33,5.49,30.94
582,5.35,4.58,13.02
583,5.33,5.54,9.87
584,5.45,4.47,14.98
585,5.37,5.56,28.94
586,5.39,4.51,13.97
587,5.36,5.53,36.89
588,5.33,4.58,8.93
589,5.37,5.51,6.9
590,5.42,4.54,14.94
591,5.43,5.47,33.9
592,5.48,4.55,33.9
593,5.52,5.53,10.97
594,5.51,4.68,6.93
595,5.36,4.5,7.03
596,5.56,5.57,16.99
597,5.37,4.51,7.93
598,5.35,5.5,16.97
599,5.34,4.46,36.98
600,5.36,5.55,30.9
601,5.54,4.47,26.96
602,5.36,5.55,16.91
603,5.56,4.62,6.9
604,5.44,5.62,51.94
605,5.35,4.76,58.94
606,5.35,4.83,19.65
607,5.37,4.54,11.34
608,5.59,5.59,8.17
609,5.44,4.48,7.21
610,5.34,5.56,27.19
611,5.36,4.48,6.2
612,5.33,5.5,10.18
613,5.35,4.46,21.2
614,5.34,5.47,8.15
615,5.37,4.49,8.21
616,5.38,5.5,17.18
617,5.35,4.45,17.28
618,5.33,5.48,32.23
619,5.33,5.44,51.2
620,5.45,4.55,36.22
621,5.42,5.43,11.21
622,5.35,4.54,63.21
623,5.33,5.45,80.25
624,5.46,4.62,18.2
625,5.43,4.54,28.2
626,5.54,5.51,40.16
627,5.29,4.5,22.95
628,5.43,5.47,19.21
629,5.4,5.5,18.19
630,5.34,4.66,20.17
631,5.44,4.47,18.21
632,5.53,5.55,49.19
633,5.44,4.5,28.13
634,5.46,5.75,92.19
635,5.43,4.55,35.15
636,5.45,4.58,36.11
637,5.37,5.54,21.3
638,5.54,4.59,16.1
639,5.46,5.51,20.11
640,5.36,4.62,6.26
641,5.35,5.53,30.17
642,5.34,4.58,8.19
643,5.34,5.47,17.16
644,5.39,4.5,10.17
645,5.41,5.46,51.19
646,5.38,4.46,26.12
647,5.54,5.52,45.21
648,5.44,4.56,12.17
649,5.38,5.47,13.14
650,5.5,4.64,27.2
651,5.42,4.51,42.13
652,5.43,5.52,9.2
653,5.36,4.45,14.14
654,5.45,5.44,8.14
655,5.43,5.53,12.13
656,5.44,4.49,56.26
657,5.36,5.46,15.15
658,5.35,4.58,15.58
659,5.47,5.46,12.16
660,5.35,4.68,13.21
661,5.36,4.5,45.18
662,5.32,5.53,39.15
663,5.33,4.49,8.17
664,5.55,5.53,48.13
665,5.42,4.59,26.73
666,5.34,5.54,46.45
667,5.45,4.49,66.23
668,5.41,5.57,75.23
669,5.35,4.66,52.25
670,5.37,4.5,21.21
671,5.34,5.47,14.18
672,5.35,4.52,54.25
673,5.4,5.53,19.21
674,5.56,4.44,15.23
675,5.49,5.52,25.2
676,5.45,5.48,24.27
677,5.34,4.56,7.21
678,5.45,4.45,11.15
679,5.32,5.56,8.28
680,5.46,4.43,32.82
681,5.36,5.57,57.2
682,5.45,4.46,8.19
683,5.37,5.58,13.23
684,5.36,4.54,30.23
685,5.34,5.5,23.2
686,5.34,4.55,26.25
687,5.43,5.57,31.22
688,5.44,4.65,20.33
689,5.43,5.53,61.29
690,5.55,4.61,13.29
691,5.36,4.56,20.59
692,5.35,5.59,69.19
693,5.56,4.55,10.19
694,5.43,5.53,91.24
695,5.55,4.6,9.17
696,5.36,5.47,30.6
697,5.35,4.52,40.56
698,5.33,5.49,49.05
699,5.43,4.54,8.2
700,5.35,5.5,17.17
701,5.35,4.55,28.24
702,5.33,5.47,9.17
703,5.35,4.55,17.17
704,5.36,5.48,92.28
705,5.56,4.48,42.07
706,5.33,5.46,34.2
707,5.33,4.51,14.26
708,5.36,5.44,21.2
709,5.45,4.48,26.17
710,5.37,5.5,21.74
711,5.44,4.56,54.17
712,5.43,5.46,25.22
713,5.44,4.5,17.56
714,5.34,5.46,22.51
715,5.37,4.46,88.52
716,5.45,5.55,23.4
717,5.34,4.48,7.9
718,5.36,5.6,11.77
719,5.34,4.57,21.48
720,5.44,5.46,27.2
721,5.35,4.73,17.19
722,5.36,4.47,21.11
723,5.34,5.51,22.18
724,5.43,4.49,47.35
725,5.36,5.52,22.74
726,5.38,4.57,27.12
727,5.45,5.46,72.7
728,5.46,4.46,12.82
729,5.38,5.45,18.48
730,5.35,4.44,23.19
731,5.43,5.54,27.55
732,5.4,4.46,31.59
733,5.3,5.56,17.61
734,5.53,4.47,7.79
735,5.43,5.49,6.13
736,5.34,5.48,14.8
737,5.37,4.49,14.26
738,5.43,5.46,12.46
739,5.33,4.48,9.34
740,5.45,5.47,13.27
741,5.33,4.56,34.45
742,5.38,5.47,13.34
743,5.31,4.59,7.53
744,5.44,4.49,25.49
745,5.33,5.5,27.16
746,5.46,4.67,26.6
747,5.32,5.5,14.29
748,5.33,4.58,25.8
749,5.38,5.54,54.33
750,5.43,4.53,11.35
751,5.34,5.59,41.3
752,5.44,4.62,6.76
753,5.35,4.58,13.28
754,5.35,5.5,43.72
755,5.35,4.45,70.13
756,5.35,5.47,67.39
757,5.33,4.47,29.16
758,5.36,5.45,88.54
759,5.34,5.45,8.44
760,5.43,4.46,35.77
761,5.37,5.49,13.35
762,5.31,4.44,18.9
763,5.35,5.49,31.62
764,5.36,4.47,21.17
765,5.43,5.48,21.77
766,5.37,4.46,29.39
767,5.35,5.48,11.51
768,5.33,4.48,9.31
769,5.36,5.46,35.8
770,5.35,4.54,24.68
771,5.57,5.49,9.49
772,5.37,4.46,34.88
773,5.41,5.51,23.86
774,5.38,4.48,26.47
775,5.43,5.59,28.06
776,5.35,4.45,17.3
777,5.46,5.47,17.76
778,5.45,4.5,13.67
779,5.44,5.56,10.67
780,5.46,4.56,40.31
781,5.56,5.56,28.15
782,5.34,4.58,47.81
783,5.44,5.54,20.83
